controller,rep,avg_g,dist,outcome,peak_g,yaw_abs,wall_s
prop_0.06_kp2.0_axle,0,1.1281619085870085,57.73814112681547,STOP,4.316914235679209,0.08900122160332101,7.5
prop_0.06_kp2.0_axle,1,1.1183451366381765,58.24496808607211,STOP,4.4201900696314365,0.08255533097046278,5.9
prop_0.06_kp3.0_axle,0,1.131981132692372,57.54343550928247,STOP,3.221494634644223,0.05763326136337129,6.1
prop_0.06_kp3.0_axle,1,1.1421307840398998,57.032029939859115,STOP,4.6394421194091,0.06429874966323038,6.1
prop_0.06_kp4.0_axle,0,1.131704541229549,57.55754017532409,STOP,4.554062951947214,0.05759569373582049,6.3
prop_0.06_kp4.0_axle,1,1.0914024158227273,59.683143234692274,STOP,3.827026630492679,0.03932812082563714,6.5
prop_0.05_kp3.0_axle,0,1.1500580568862202,56.638937485399836,STOP,3.7494350266818444,0.06612937152764063,6.2
prop_0.05_kp3.0_axle,1,1.1444283273096554,56.91780747816161,STOP,3.9353082160384023,0.057800784350911294,6.0
prop_0.07_kp3.0_axle,0,1.1337374145714978,57.45417746150408,STOP,3.470940577149797,0.06999150674462729,6.1
prop_0.07_kp3.0_axle,1,1.1320447087336436,57.54017828267235,STOP,4.269268951522307,0.06701872736968656,6.1
