run,kind,reward,control_hz,wheel_mode,speeds,total_steps,steps_done,n_episodes,best_g,last20_mean_g,all_mean_g,status,eval_g,log_unreliable,hypothesis,notes
PPO-01,ppo,,,,,,,0,,,,has_final,,false,,first_log_ts=2026-08-29
PPO-02,ppo,,,,,,,0,,,,has_final,,false,,first_log_ts=2026-08-30
PPO-03,ppo,,,,,,,1,0.7339,0.7339,0.7339,unknown,,false,,first_log_ts=2026-08-30
PPO-05,ppo,,,,,,,13,0.9901,0.9111,0.9111,has_final,,false,,first_log_ts=2026-08-30
PPO-06,ppo,,,,,,,0,,,,has_final,,false,,first_log_ts=2026-08-30
PPO-07,ppo,,,,,,,16,0.9694,0.9058,0.9058,has_final,,false,,first_log_ts=2026-08-30
PPO-10,ppo,,,,,,,132,1.0025,0.9071,0.914,has_final,,false,,first_log_ts=2026-08-30
PPO-11,ppo,,,,,,,5,1.0134,0.9829,0.9829,has_final,,false,,first_log_ts=2026-08-30
PPO-12,ppo,,,,,,,0,,,,has_final,,false,,episode log has avg_g=0 on every row (brake metric not recorded); first_log_ts=2026-08-30
PPO-20,ppo,,100,axle,100,20000,,0,,,,has_final,,false,,net 256x256x256; lr 0.0001; episode log has avg_g=0 on every row (brake metric not recorded); first_log_ts=2026-08-30
PPO-21,ppo,,100,axle,80,200000,,0,,,,has_final,,false,,net 256x256x256; lr 0.0001; episode log has avg_g=0 on every row (brake metric not recorded); first_log_ts=2026-08-30
PPO-22,ppo,,100,axle,80,200000,,0,,,,stopped,,false,,net 256x256x256; lr 0.0001; episode log has avg_g=0 on every row (brake metric not recorded); first_log_ts=2026-08-31
PPO-23,ppo,,100,axle,80,20000,,0,,,,stopped,,false,,net 256x256x256; lr 0.0001; episode log has avg_g=0 on every row (brake metric not recorded); first_log_ts=2026-08-31
PPO-24,ppo,,100,axle,80,200000,,0,,,,stopped,,false,,net 256x256x256; lr 0.0001; episode log has avg_g=0 on every row (brake metric not recorded); first_log_ts=2026-08-31
PPO-25,ppo,,100,axle,80,200000,,0,,,,stopped,,false,,net 256x256x256; lr 0.0001; episode log has avg_g=0 on every row (brake metric not recorded); first_log_ts=2026-08-31
PPO-26,ppo,,100,axle,80,200000,,0,,,,stopped,,false,,net 256x256x256; lr 0.0001; first_log_ts=2026-08-31
PPO-27,ppo,,100,axle,80,200000,,0,,,,stopped,,false,,net 256x256x256; lr 0.0001; episode log has avg_g=0 on every row (brake metric not recorded); first_log_ts=2026-08-31
PPO-28,ppo,,100,axle,80,200000,,0,,,,stopped,,false,,net 256x256x256; lr 0.0001; episode log has avg_g=0 on every row (brake metric not recorded); first_log_ts=2026-08-31
